Singular Masculine Nominative, ο
Singular Feminine Nominative, η
Singular Neuter Nominative, το
Plural Masculine Nominative, οι
Plural Feminine Nominative, οι
Plural Neuter Nominative, τα
Singular Masculine Accusative, του
Singular Feminine Accusative, της
Singular Neuter Accusative, του
Plural Masculine Accusative, των
Plural Feminine Accusative, των
Plural Neuter Accusative, των
Singular Masculine Genitive, το(ν)
Singular Feminine Genitive, τη(ν)
Singular Neuter Genitive, το
Plural Masculine Genitive, τους
Plural Feminine Genitive, τις
Plural Neuter Genitive, τα
